
[00:00:00.000 --> 00:00:04.720]   Aloha everyone and welcome to another Tinkers Academy video. I'm your host Kay Elmer and today
[01:12:29.120 --> 01:12:37.200]   Is is that I mean what's your opinion? Is that you know, and then there's also people that you know, they've they advertise that they've got charcoal c60
[01:12:37.200 --> 01:12:39.200]   Which I don't even understand
[01:12:39.200 --> 01:12:44.720]   You know how they're able to do that, but so what's your what like what is the purest source of carbon?
[01:12:44.720 --> 01:12:50.800]   To to you know by which to then extract c60 and is it shungite or you know is shungite a possibility?
[01:12:50.800 --> 01:12:52.160]   Is the other?
[01:12:52.160 --> 01:12:54.160]   shungite is um
[01:12:54.160 --> 01:13:01.120]   Is is found over in russia. It's corralia russia. That's where a meteor they they presume a media struck
[01:13:02.160 --> 01:13:08.880]   millions of years ago whenever and it took and it was so so big it caused a fireball like a nuclear explosion
[01:13:08.880 --> 01:13:14.880]   Took everything that all the vegetation that was on the ground threw it all up in a year and it came back and
[01:13:14.880 --> 01:13:17.600]   crystallized within the
[01:13:17.600 --> 01:13:24.240]   Uh the silica and the rock and stuff like that. So shungite said it's like a hard charcoal piece of charcoal
[01:13:24.240 --> 01:13:27.280]   You can take a pocket knife and dig into it if you want to
[01:13:27.280 --> 01:13:28.800]   um
[01:13:28.800 --> 01:13:34.640]   But but it does have some of the some of it did come back as c60 and it's in a shungite and they have different levels of
[01:13:34.640 --> 01:13:40.160]   Quality of shungite ones with more carbon 60 and ones with less. So yeah shungite
[01:13:40.160 --> 01:13:44.240]   Is was kept a cold war secret a cold war
[01:13:44.240 --> 01:13:46.800]   uh secret during the cold war and also
[01:13:46.800 --> 01:13:53.520]   During world war two the russians did not tell everybody about shungite because they just they were discovering it and it was a healing
[01:13:53.520 --> 01:13:58.320]   Water the water that would come through the rock would pick up some of the carbon 60 molecules
[01:13:58.320 --> 01:14:01.440]   And they would drink it and very very healing and um
[01:14:01.440 --> 01:14:07.280]   So so it's a very good and another the source where you can get unit good this carbon in many things
[01:14:07.280 --> 01:14:12.640]   It's how you process it, you know carbon, you know, and everything that this plants
[01:14:12.640 --> 01:14:17.280]   Um vegetables, you know fish all you meat contain carbon
[01:14:17.280 --> 01:14:20.160]   So anything organic
[01:14:20.160 --> 01:14:26.240]   Organic means of having carbon so anything organic is carbon based, you know
[01:14:26.240 --> 01:14:32.320]   It's not the organic you buy in a grocery store that means that they don't process it with without chemicals or pesticides
[01:14:32.320 --> 01:14:38.960]   They call that organic but organic by a scientific definition means that it contains carbon and so yeah
[01:14:38.960 --> 01:14:43.840]   So we we we we we start off with a base material that has carbon in it
[01:14:43.840 --> 01:14:46.960]   And we strip everything off of it and everything does come off of it
[01:14:46.960 --> 01:14:52.480]   And then we reformulate it back into the carbon 60 molecule and it's a proprietary process
[01:14:52.560 --> 01:14:58.560]   I can't go on to too much detail details of what we use but something that has carbon in it
[01:14:58.560 --> 01:15:01.440]   And it's very plentiful
[01:15:01.440 --> 01:15:07.200]   Okay. All right. Don't thanks appreciate that because because I think you mentioned earlier that you know, like even if you took
[01:15:07.200 --> 01:15:11.680]   Activated charcoal right this form of carbon and you got it
[01:15:11.680 --> 01:15:17.120]   You got the particulate size down to really really really small that it would have similar benefits
[01:15:17.120 --> 01:15:20.400]   Would that have similar benefits to c60 because you know, I
[01:15:21.280 --> 01:15:27.520]   Don't know there's people doing that out there. Yeah. Yeah, it was one company that they they get it down to a very small
[01:15:27.520 --> 01:15:35.280]   Activated charcoal the activation process is when you take charcoal and you hit it with high pressure steam
[01:15:35.280 --> 01:15:42.640]   And what happens that since it's it's random. It's got different plates and different direction like little tiny pieces of graphite really
[01:15:42.640 --> 01:15:47.440]   Oh, all the other the molecular structure. It'll take that steam and push it through different angles
[01:15:47.440 --> 01:15:50.400]   So anyways, you got charcoal that looks like Swiss cheese
[01:15:50.400 --> 01:15:55.840]   That's got a bunch of holes in it from the steam and that's the activation process that gives it more surface air. Okay
[01:15:55.840 --> 01:15:58.640]   Yeah, so so when you act that when you see activated
[01:15:58.640 --> 01:16:03.120]   That means that it's got a lot a lot of holes through it and so an increased surface area
[01:16:03.120 --> 01:16:05.760]   And that's why they use it for carbon water filters and so forth
[01:16:05.760 --> 01:16:10.560]   It'll add zore of a toxin and stick to it statically and that toxins kind of trapped
[01:16:10.560 --> 01:16:15.280]   Yeah, it works great for food poisoning too. I'll tell you right. Uh, yeah, okay. All right. So
[01:16:16.240 --> 01:16:22.800]   Second to the last question here. Um, what's your opinion of the other fullerenes that are now being marketed on them
[01:16:22.800 --> 01:16:25.040]   You know that are being sold to the public
[01:16:25.040 --> 01:16:28.240]   Specifically water soluble c60
[01:16:28.240 --> 01:16:32.240]   Uh, there's I just did a video on that. I think there's I found eight products out on the market
[01:16:32.240 --> 01:16:36.160]   That are selling anything from a c60
[01:16:36.160 --> 01:16:41.440]   You know hydroxylated c60 all the way up to a combination of c60
[01:16:42.080 --> 01:16:45.920]   And c70, you know full and all's um and so forth
[01:16:45.920 --> 01:16:50.240]   So, you know these new products are coming out on the market. I mean, what what's your opinion of these?
[01:16:50.240 --> 01:16:52.720]   And do they add any I mean in other words
[01:16:52.720 --> 01:17:00.880]   What do you think and are they better or equal to then just buying c60? Uh, that's already out there
[01:17:00.880 --> 01:17:05.840]   I mean, what do you think of this this new products of these new products that are coming out of this new
[01:17:05.840 --> 01:17:11.280]   Uh, you know fullerene that's being marketed for health. Yeah, there's been quite a bit of studies
[01:17:11.440 --> 01:17:16.720]   You know on the hydrated fullerenes if you want to call them that the ones that have the OH group on it
[01:17:16.720 --> 01:17:18.000]   uh
[01:17:18.000 --> 01:17:20.000]   Or you can have the aqueous
[01:17:20.000 --> 01:17:25.120]   Uh, fullerenes which which basically use a different type of a
[01:17:25.120 --> 01:17:32.240]   Stat it's like a small static charges a very weak force that you can that holds the water intact
[01:17:32.240 --> 01:17:37.040]   So you get like a a water around it and they're called london
[01:17:37.600 --> 01:17:41.360]   London dispersion forces they're very very small charges
[01:17:41.360 --> 01:17:46.880]   And so but it will protect or surround the carbon-60 molecule with water
[01:17:46.880 --> 01:17:53.920]   And so yeah, we we find with our water-based product our carbon-60 suspension product
[01:17:53.920 --> 01:18:01.520]   Which is some it's a form of uh, this this carbon-60 hydrated fullerene or aqueous suspension
[01:18:02.240 --> 01:18:09.920]   Um, that yeah, we we see better results with it as far as absorbing into the skin it well, it's more convenient for one thing
[01:18:09.920 --> 01:18:16.800]   Um, it dries if you put it on topically people have taken it orally also, but your body doesn't have to process
[01:18:16.800 --> 01:18:20.560]   Your body's made out of water. It's not made out of olive oil or sunflower oil
[01:18:20.560 --> 01:18:27.680]   So your body doesn't have to process the oil that's surrounding that in a liposomal form before it gets to the carbon-60
[01:18:28.160 --> 01:18:35.520]   So in water, you don't have to process the oil off. It's already bioavailable. It's ready to go and so we see
[01:18:35.520 --> 01:18:38.640]   uh, much much faster
[01:18:38.640 --> 01:18:45.920]   uh responses with the water-based product and with the oil product longer lasting so I mean it's
[01:18:45.920 --> 01:18:51.920]   Okay, it's it's it's kind of a an even trade off. You know, they they both work very well
[01:18:51.920 --> 01:18:58.000]   Um, we're looking more and more into the you know, the aqueous forms of
[01:18:58.240 --> 01:19:00.160]   carbon-60 ourselves
[01:19:00.160 --> 01:19:02.240]   You know, we we find we find it very interesting
[01:19:02.240 --> 01:19:09.120]   There's a lot of reports on on on the aqueous form of carbon-60 a lot of people having difficulty. Of course
[01:19:09.120 --> 01:19:10.320]   We did too
[01:19:10.320 --> 01:19:14.240]   Uh, when we started out five or six years ago making that foot at live rat brain
[01:19:14.240 --> 01:19:19.520]   And um, it's quite a process to put it into water. It's not something that you can just do
[01:19:19.520 --> 01:19:24.400]   I don't I don't recommend and I don't think anybody could do it if if you're a home user
[01:19:25.040 --> 01:19:28.960]   And you want to buy carbon-60 power to put it in water, you know, good luck
[01:19:28.960 --> 01:19:34.000]   Come on, you know, I mean it took me years to figure that out and then once I got it figured out it took me
[01:19:34.000 --> 01:19:36.800]   months to get it
[01:19:36.800 --> 01:19:41.360]   Near perfected and that's all it's near perfected. You know, it's very very close
[01:19:41.360 --> 01:19:48.080]   Yeah, well, I know that I know you can actually go out and specifically you go to like, you know, celeras cam or mtr and purchase
[01:19:49.040 --> 01:19:53.200]   Florinols, right and then just and then of course you just it's a concentrate
[01:19:53.200 --> 01:19:56.560]   And then you would add it to water and then people are selling it as a product
[01:19:56.560 --> 01:20:02.800]   I do know that there are manufacturers out there are commercial sellers that are actually producing their own
[01:20:02.800 --> 01:20:08.800]   Florinols and then selling it as a product as well. So uh, there's two different approaches right off the bat
[01:20:08.800 --> 01:20:14.480]   Um, just like c60, but I you know, I was doing the research on and I was just thinking like what you just said
[01:20:14.480 --> 01:20:19.600]   I think I agree with that the more I research it the more and the more fascinating it is because
[01:20:19.600 --> 01:20:24.240]   We are water-based beings and it's definitely more bio available because it's water-based
[01:20:24.240 --> 01:20:30.080]   Um as opposed to, you know, lipid based so so there's some definitely there's definitely some promise
[01:20:30.080 --> 01:20:34.480]   I'm about to do a trial on myself and and see how it works for me
[01:20:34.480 --> 01:20:39.840]   So the other the other issue here on supplement is the carbon nano onions now you had mentioned
[01:20:39.840 --> 01:20:41.760]   that
[01:20:41.760 --> 01:20:44.000]   Um, you had mentioned carbon nano onion
[01:20:44.000 --> 01:20:46.800]   So if you could if you don't mind a little education for me
[01:20:46.800 --> 01:20:51.680]   But I was under the impression that a carbon nano onion is one of the family of fullerines
[01:20:51.680 --> 01:20:54.160]   And that you've got multiple different
[01:20:54.160 --> 01:20:58.880]   Fullerines trapped within each one of its cages and it forms an onion
[01:20:58.880 --> 01:21:03.600]   But then when we talked about these, uh, you know, these electron microscope photos
[01:21:03.600 --> 01:21:07.360]   You were mentioning that that this was a carbon nano onion
[01:21:07.360 --> 01:21:09.840]   But it's if it's only c60
[01:21:10.560 --> 01:21:13.680]   It's not an onion, right? They're not inside of each other. They're kind of
[01:21:13.680 --> 01:21:21.280]   Stuck to each other as opposed to a traditional fullerine carbon nano onion, which is a cage within a cage within a cage
[01:21:21.280 --> 01:21:26.640]   Right. Yeah, that's correct carbon nano onion is a cage within a cage in the cage
[01:21:26.640 --> 01:21:32.240]   But as you can see the maybe the one in the middle of the cage is got 60 carbon atoms
[01:21:32.240 --> 01:21:37.040]   The next one probably it's 300 and then the next one probably has, you know, 500
[01:21:37.280 --> 01:21:40.320]   Right, you know, I mean they're not all carbon 60 so
[01:21:40.320 --> 01:21:47.520]   Yeah, my my little green man aren't small enough to get in there and tell you exactly what we have what these other people have
[01:21:47.520 --> 01:21:51.200]   And I don't think anybody can tell it's all theoretical on paper
[01:21:51.200 --> 01:21:55.600]   It's what really accounts is the end results if you take the product
[01:21:55.600 --> 01:22:01.520]   You don't have any negative interactions, which we we don't we have had no no negative interactions with our products
[01:22:01.680 --> 01:22:07.920]   We we had people allergic to sunflower oil and things like that or people don't like it because our product is very very black
[01:22:07.920 --> 01:22:16.400]   They don't like it because it's black or they're you know or the sunflower oil, but besides that we have a no negative interactions or contraindications or medications
[01:22:16.400 --> 01:22:20.560]   So it's the end result product is what what you see that happens
[01:22:20.560 --> 01:22:28.240]   If you can spray the hydrated fullerine or water-based product on your skin and you get pain relief, you know
[01:22:28.320 --> 01:22:34.480]   Hey, that's what you want and with no negative no toxicity. No downside. Yeah, okay. No, thanks for that
[01:22:34.480 --> 01:22:39.760]   Yeah, because I've you know in my research. It's like I've only found there's only one product out there that
[01:22:39.760 --> 01:22:43.740]   Advertises itself as a carbon that no onion fullerine
[01:22:43.740 --> 01:22:50.720]   Supplement and it's only one and it has and and it's been that way for five years and it's never gone anywhere
[01:22:50.720 --> 01:22:53.040]   It's never it's just never left the launch pad
[01:22:53.520 --> 01:22:58.800]   So I've been I kind of I've been keeping that on that product and nothing's happened. No, nobody else has gotten there
[01:22:58.800 --> 01:23:03.200]   It seems like the market is moving towards water soluble c60, right?
[01:23:03.200 --> 01:23:09.920]   And so yeah, that's really that's interesting. So hey, I appreciate all of this and I just got one last question because I know
[01:23:09.920 --> 01:23:14.800]   Um a lot of the folks that watched my videos, you know, they're they're di wires, right?
[01:23:14.800 --> 01:23:18.800]   They like to make their own 60s. See I've been making my own c60 since like
[01:23:18.800 --> 01:23:21.040]   2018
[01:23:21.040 --> 01:23:23.040]   and after our discussion about
[01:23:23.040 --> 01:23:30.880]   Well, you know about part of in a particulate size and contaminants and solvents and and everything you you know, you've shared with me
[01:23:30.880 --> 01:23:34.320]   You know like what what's your advice? I mean because it just sounds like
[01:23:34.320 --> 01:23:37.920]   Running off to mtr and buying some c60
[01:23:37.920 --> 01:23:45.760]   Make it my own in my oil. Um, you know, it you know, it it you know, it is you know, like I call it like home grade good enough
[01:23:46.240 --> 01:23:51.680]   Uh, but then there's the idea of you know, let's do it right. Like, you know, like you're doing and some of the other, you know
[01:23:51.680 --> 01:23:59.200]   High-end manufacturers are but but so what is what's your advice for the di y guys in terms of like
[01:23:59.200 --> 01:24:02.640]   Making your own c60 at home, but then also, you know being
[01:24:02.640 --> 01:24:09.120]   Conscious about contaminant solvents and and bioavailability. What are what are your recommendation?
[01:24:09.120 --> 01:24:12.320]   Well on the carbon 60 powder you're going to purchase out there
[01:24:13.120 --> 01:24:18.160]   Is solvent produced one way or another either they started then they sublime it or they
[01:24:18.160 --> 01:24:25.360]   Don't sublime it. They just use the HPLC to separate it to increase the concentration of the carbon 60 molecules
[01:24:25.360 --> 01:24:30.480]   So they all have trace amount of solvents and if they're all the particle sizes are very large
[01:24:30.480 --> 01:24:36.880]   Yeah, you can mix it for a couple weeks and you know, knock some of those molecules down in size and break some things off
[01:24:36.880 --> 01:24:42.480]   It works. It's where it you know, it does you get a slight amount of toxicity and you get very you know
[01:24:42.720 --> 01:24:49.760]   But but the larger particles do you get people that aren't filtering it? They're definitely getting caught in their their liver as they showed in my studies
[01:24:49.760 --> 01:24:51.600]   You know
[01:24:51.600 --> 01:24:56.080]   We used to make and we stopped doing it. We made what we call the concentrate
[01:24:56.080 --> 01:25:01.040]   Yeah, so this is off to the left. Yeah, we did that for about two months
[01:25:01.040 --> 01:25:07.360]   And we said, you know, we basically we took it and put carbon 60 in sunflower oil at a concentrate level
[01:25:08.080 --> 01:25:12.800]   And they could take that and basically dump it into about like a liter of
[01:25:12.800 --> 01:25:18.160]   Olive oil. So now they got the standard product that everybody else has out there
[01:25:18.160 --> 01:25:21.040]   They got carbon 60 now in olive oil
[01:25:21.040 --> 01:25:28.720]   And we did that for a couple months and we felt so bad because all it does is take make people take more olive oil
[01:25:28.720 --> 01:25:36.400]   And so we felt bad, you know, we're really deceiving the public or tricking them into taking more of olive oil
[01:25:36.400 --> 01:25:40.400]   Which you don't want to consume excessive quantities. And it's so so we stop doing that
[01:25:40.400 --> 01:25:42.800]   We don't sell any kind of concentrate anymore
[01:25:42.800 --> 01:25:47.840]   It's it's just straight out of the bottle that right now and just put it in your mouth
[01:25:47.840 --> 01:25:49.280]   There's no need to
[01:25:49.280 --> 01:25:55.120]   Take excessive amounts of oil. We don't need our serving size is only an eighth of a teaspoon and we have
[01:25:55.120 --> 01:26:02.480]   About 50,000 times more bioavailable molecules and anybody else on the market. So, okay
[01:26:03.200 --> 01:26:06.400]   I'll make it at home do it, but yeah, no no because I actually bought
[01:26:06.400 --> 01:26:13.760]   I bought some of this concentrate and I was and I was to quote diy at home, right because I was buying C60 from everybody and trying different
[01:26:13.760 --> 01:26:16.800]   You know suppliers, and so I bought a bottle
[01:26:16.800 --> 01:26:18.400]   I made a liter
[01:26:18.400 --> 01:26:22.800]   And then I you know and then I used it and I went to go back to the website and it wasn't for sale anymore
[01:26:22.800 --> 01:26:27.840]   And I never I never called you to say why did you take it off the market, but that makes so much sense
[01:26:27.840 --> 01:26:30.720]   You're right. I mean, why not just take the the little bottle
[01:26:31.360 --> 01:26:37.600]   Yeah, well, yeah, why why subject yourself to all that oil you're allowed about a teaspoon a day of olive oil
[01:26:37.600 --> 01:26:42.480]   You know according to some of the studies out there. That's plenty. That's your hundred percent serving size. You're
[01:26:42.480 --> 01:26:46.480]   You know, uh, whatever. You know, you're serving size that you're supposed to be taken
[01:26:46.480 --> 01:26:50.560]   So why why why take more oil because you get in your bread you get in another
[01:26:50.560 --> 01:26:55.760]   You know ingredient in other foods that you eat too. So, okay. Yeah, you know, I was gonna help
[01:26:55.760 --> 01:26:58.160]   Thanks for saying that. I was gonna ask you this question
[01:26:58.800 --> 01:27:03.120]   Well, you've got this one part of your website here where you talk about serving size
[01:27:03.120 --> 01:27:10.160]   Right and you make this comparison about you know, like these other products out there and the cost per day
[01:27:10.160 --> 01:27:13.440]   Um, so when you say serving size
[01:27:13.440 --> 01:27:22.240]   Because yours is so much more bio available. You'd have you don't have to take as much and that's why it's um more cost effective
[01:27:23.360 --> 01:27:30.640]   Yes, or that's okay. That's why that's what this means. Yeah, it's basically our serving size is only an eighth of a teaspoon
[01:27:30.640 --> 01:27:36.400]   And wow, you know, you're you're getting over a hundred billion carbon 60 molecules
[01:27:36.400 --> 01:27:41.840]   These other products is typically two teaspoons that you have to take so you're taking mostly oil
[01:27:41.840 --> 01:27:48.560]   And you can see that all these other ones are clear. They look like olive oil or whatever whatever oil that they put them in or
[01:27:49.120 --> 01:27:54.560]   Um, you know, our coconut oil or mct whatever, you know, they're they're all they're all clear
[01:27:54.560 --> 01:27:57.920]   You can't see the carbon in there and they just they have some in there
[01:27:57.920 --> 01:28:05.760]   But they're few and far between they're spaced out so the light passes right through it when you have an abundance of tiny tiny tiny tiny
[01:28:05.760 --> 01:28:08.480]   Particles they block the light. Oh, yeah
[01:28:08.480 --> 01:28:14.480]   So that's why ours is black and everybody else is clear and you know, and yeah, the cost per serving is
[01:28:14.640 --> 01:28:21.280]   you know, and we produce our own carbon 60 my mission our mission statement is to provide a
[01:28:21.280 --> 01:28:28.560]   Clean carbon 60 at an affordable cost to help people with health. Yeah, that makes sense
[01:28:28.560 --> 01:28:34.560]   Yeah, I was just trying to because so these other folks is quote serving size is that the standard
[01:28:34.560 --> 01:28:38.880]   Two teaspoons per day that you've done all the calculators
[01:28:38.880 --> 01:28:44.480]   Correct. All right. So then so these all these guys are all serving you two teaspoons per day
[01:28:44.800 --> 01:28:46.640]   Yours is an eighth
[01:28:46.640 --> 01:28:50.080]   Because you just don't need you don't you know, because it's so concentrated. Okay. That's what that means. Okay
[01:28:50.080 --> 01:28:51.360]   Okay
[01:28:51.360 --> 01:28:58.640]   And you're actually I think one of the interesting things too for people that don't know but you your your products classified as food right in an fda certified lab
[01:28:58.640 --> 01:29:01.360]   Well, well, yeah food grade carbon 60
[01:29:01.360 --> 01:29:07.840]   Is what it is and and when you when you identify something as food grade it has no toxins in it
[01:29:07.840 --> 01:29:12.080]   And that's basically what has no negative effects or no no downside
[01:29:12.160 --> 01:29:17.040]   And that's what we have and we have no no toxicity in our product at all
[01:29:17.040 --> 01:29:22.720]   So these are the ones that have the toxicity in it that they also put you know proposition 65
[01:29:22.720 --> 01:29:26.000]   They've buried in the back of their website somewhere and make some reference to it
[01:29:26.000 --> 01:29:33.680]   Uh, but at least they have it on their website and that's what you're required by the fda that if you're produced with with uh toxins or toxicity
[01:29:33.680 --> 01:29:36.080]   Um in the in the california
[01:29:37.120 --> 01:29:42.480]   Realm of business where that's where they push the proposition 65 that it that it does have some
[01:29:42.480 --> 01:29:47.120]   Toxys to your carcinogens in the product. Okay similar. I guess last question
[01:29:47.120 --> 01:29:54.160]   So, you know for the for the vendors that sell product the powder right and and it ends up in all these commercial products
[01:29:54.160 --> 01:29:58.160]   But you know these guys are advertising solvent free or human grade
[01:29:58.160 --> 01:30:04.960]   Right, uh, so what what so what you just described is that considered human grade because it's fda
[01:30:06.000 --> 01:30:08.800]   Right, it's fda standards prop 65
[01:30:08.800 --> 01:30:14.320]   You know, well, well proxy 65 is a california, you know, uh, right. That's their special
[01:30:14.320 --> 01:30:20.640]   Whatever there's there's no fda standard set and that's what fadi moose even said on the second publication
[01:30:20.640 --> 01:30:26.800]   That he put out in uh 2019. He said, you know, there's no standard set in the carbon 60 world
[01:30:26.800 --> 01:30:31.760]   They do have contaminants in them and they are they are solvents, you know, some of my competitors
[01:30:32.080 --> 01:30:36.960]   They only started to take in their own product three or four years ago because they cleaned it up better to a
[01:30:36.960 --> 01:30:43.600]   What what they call a you know a safer standard, you know, it's not safe, you know, I mean, I mean
[01:30:43.600 --> 01:30:50.880]   But it's not, you know, I don't know how toxic it is. It depends upon your your toxicity threshold
[01:30:50.880 --> 01:30:53.920]   You know, so it varies from person to person
[01:30:53.920 --> 01:30:58.640]   Okay, all right. So so the final question again going back to the diy
[01:30:59.280 --> 01:31:05.360]   Um, what would your recommendation be? I mean, is it if if you know people still want to make their own at home
[01:31:05.360 --> 01:31:07.440]   And they want to go the olive oil route
[01:31:07.440 --> 01:31:08.560]   Um
[01:31:08.560 --> 01:31:13.200]   Is there a is it just no matter what? It's it's safer to go with sublimated versus
[01:31:13.200 --> 01:31:18.560]   You know, uh, you know solvent treated, uh, you know, if you just wanted to minimize risk
[01:31:18.560 --> 01:31:24.720]   Or is it just to the point where no, I don't think you know, if you want to well you can minimize it
[01:31:24.720 --> 01:31:28.560]   You go to a, you know, a one that they say that they bake it out more
[01:31:28.560 --> 01:31:33.680]   But that's only the volatile solvents. There's still we've we've done smear tests and I've got a smear video on there
[01:31:33.680 --> 01:31:39.760]   It shows that we've taken carbon 60 powder and actually scratched it with a razor blade on a piece of white paper
[01:31:39.760 --> 01:31:44.960]   And you can see all the residue that's in there. I mean by by looking at it. It's it's all yellow
[01:31:44.960 --> 01:31:49.840]   You know, that's carbon 60 and solvents with the solvents attached. So
[01:31:49.840 --> 01:31:52.800]   I you know
[01:31:52.880 --> 01:31:57.920]   I wouldn't I I offered to pay my employees. I said we did a study on it
[01:31:57.920 --> 01:32:00.320]   Say anybody want to try this for a month some of these other product
[01:32:00.320 --> 01:32:05.760]   I'll pay you $5,000 to take one of these other products for a month and I had no takers
[01:32:05.760 --> 01:32:10.320]   You know and because we we know better and like I said, even some of these other
[01:32:10.320 --> 01:32:14.560]   Manufacturers would not even take their own product their own product until four years ago
[01:32:14.560 --> 01:32:18.880]   You know, they they just didn't take it. So I mean I've been exposed to car
[01:32:18.880 --> 01:32:20.880]   I've been taking carbon 60
[01:32:20.880 --> 01:32:22.880]   or exposed to it
[01:32:22.880 --> 01:32:26.560]   and taking it longer than probably anybody else for 12 years in the world
[01:32:26.560 --> 01:32:31.600]   I mean and and I I take my product and then I'll I'll stop taking it for a while
[01:32:31.600 --> 01:32:36.880]   And then I will feel myself slow down feel older a little more sluggish
[01:32:36.880 --> 01:32:39.600]   Not so active or mentally clear
[01:32:39.600 --> 01:32:44.880]   Then I'll take some of my product and you know that just just a just a dropper full of it
[01:32:44.880 --> 01:32:48.560]   And you know when in two minutes, I'm back in the game
[01:32:48.880 --> 01:32:53.200]   You know, I I can tell it activates my my body and gets it gets me going
[01:32:53.200 --> 01:32:56.320]   All right. No, thank you for that. I appreciate it. Um
[01:32:56.320 --> 01:32:58.160]   Good to know
[01:32:58.160 --> 01:33:00.240]   Um, makes me have to kind of revaluate
[01:33:00.240 --> 01:33:04.080]   My approach
[01:33:04.080 --> 01:33:06.240]   Yeah, okay. Yeah, yeah, because uh
[01:33:06.240 --> 01:33:11.200]   Um, yeah, I'm just thinking it over now. It really makes me makes me have to think about it
[01:33:11.200 --> 01:33:16.720]   Well, try it out. I mean you said you're gonna do a test to try in some of these uh, water-based
[01:33:17.120 --> 01:33:23.440]   polarines. Yeah, I'm trying I'm trying a florinol product for the let me let me send you what I want to wear a bottle
[01:33:23.440 --> 01:33:28.400]   So you can try it and see what you think of it. Okay, so you can put us in a comparison. That's all
[01:33:28.400 --> 01:33:33.840]   Yeah, no, I appreciate that because um, yeah, I just uh, I had to I stopped taking my own c60 oil
[01:33:33.840 --> 01:33:40.160]   Because I I buy from Solaris through Layla labs. Yeah, um, and it's like 9.95
[01:33:40.160 --> 01:33:46.720]   uh, you know, quote solvent free, um, and um, and I make my own c60. I've been doing that for years
[01:33:47.200 --> 01:33:53.040]   Uh, but then I stopped doing that I waited two weeks to let it flush out and then I'm gonna try a florinol trial
[01:33:53.040 --> 01:33:56.240]   But yeah, I would I wouldn't mind at all. I thank you very much because
[01:33:56.240 --> 01:34:01.280]   Yeah, I'm starting to think about, you know, as I get older and I'm you you know, just
[01:34:01.280 --> 01:34:07.680]   You get older and you start you just read that point where you bio accumulated so much garbage over so long
[01:34:07.680 --> 01:34:14.800]   No matter how many times I try to do detox routines, you know, I'm just trying to keep up my energy, you know, and it's harder and harder as we get older
[01:34:15.280 --> 01:34:19.440]   Um, so yeah, no, that's that's a lot of food for thought. So thank you very much for that
[01:34:19.440 --> 01:34:24.320]   Uh, okay. So hey bob, you know, I just want to thank you so much for your time. This is
[01:34:24.320 --> 01:34:27.520]   Fascinating and thank you for clearing up so much stuff for me
[01:34:27.520 --> 01:34:31.680]   Uh, you know, I've been studying this stuff and dinking around with it for
[01:34:31.680 --> 01:34:37.280]   John. Oh five years now, um or something like that or more than like six seven years
[01:34:37.280 --> 01:34:42.000]   Uh, you know, and I learned something every time. So, you know, thank you very much for your time
[01:34:42.640 --> 01:34:48.480]   Well, yeah, and if anybody wants to contact us, please visit our website, you know, c-60.com
[01:34:48.480 --> 01:34:50.960]   We have it up there or you know, give us a call
[01:34:50.960 --> 01:34:54.160]   You know, we're having an open phone line. We have a live person that answers the phone
[01:34:54.160 --> 01:34:59.200]   A lot of times it's myself and our phone number if I could say it is seven two zero
[01:34:59.200 --> 01:35:01.120]   600
[01:35:01.120 --> 01:35:02.640]   6040
[01:35:02.640 --> 01:35:04.640]   Again, that's a seven two zero
[01:35:04.640 --> 01:35:12.160]   660 40 and call anytime literally anytime is fine. All right. Yeah, bob is very reachable. So I just want to say thank you bob
[01:35:12.640 --> 01:35:18.560]   His website is c-60.com link in the video description below if you want to reach me. I'm at the tinker's dot academy
[01:35:18.560 --> 01:35:19.920]   That's my blog
[01:35:19.920 --> 01:35:22.800]   Um, any party words bob just want to say thank you very much
[01:35:22.800 --> 01:35:27.280]   No, stay healthy and uh, you know, let's get through these difficult times
[01:35:27.280 --> 01:35:31.280]   We're going through right now with everything that's going on in this crazy world that we having
[01:35:31.280 --> 01:35:36.560]   And um, you know, just stay healthy keep those toxins on your body and keep clean with carbon 60
[01:35:36.560 --> 01:35:40.240]   All right. Thank you very much, bob. I really appreciate your time
[01:35:40.960 --> 01:35:41.800]   - Thanks, Greg.

